dm,hu-no.,po-no.,customer,wire rod supplier,material,diameter,batch,ring-no.,ring mass wr,ring mass ad,wgm 1,wgm 2,grinding belt type 1,grinding belt type 2,used belts 1,used belts 2,nominal diameter,actual diameter rs,actual diameter re,drawing speed,drawing die no.,ampl. testing rs,ampl. testing re,coil diameter,cronet,membrain,production start,production end,sum erros,notes,staff no.
1,175812416,3913419,Mubea Mexico,SAG,,16,150848,2899,2937,2934,,,,,,,14.5,14.49,14.5,0.95,E5,45,45,18,y,y,07.09.2023 - 14:45,07.09.2023 - 15:33,6,s,s
1,178568400,3916348,Mubea Mexico,SAG,,15,151751,8253,2923,2920,,,,,,,13.5,13.49,13.5,0.95,D5,45,45,18,y,y,07.09.2023 - 15:43,07.09.2023 - 16:39,13,s,s
1,180531795,3916306,Mubea Mexico,SAG,,13,710619,8536,2482,2479,,,,,,,12.1,12.09,12.1,0.95,C1,45,45,16,y,y,07.09.2023 - 16:50,07.09.2023 - 17:40,16,s,s
1,180661001,3916390,Mubea Mexico,SAG,,14,152192,6630,2941,2938,,,,,,,12.7,12.69,12.7,0.95,C7,46,46,16,y,y,07.09.2023 - 17:52,07.09.2023 - 19:00,6,s,s
1,178568404,3916351,Mubea Mexico,SAG,,15,151751,8267,2917,2914,,,,,,,13.5,13.5,13.49,0.95,D5,45,45,18,y,y,07.09.2023 - 19:20,07.09.2023 - 20:10,4,s,s
1,175812419,3913420,Mubea Mexico,SAG,,16,150848,2894,2935,2932,,,,,,,14.5,14.5,14.49,0.95,E5,45,45,19,y,y,07.09.2023 - 20:24,07.09.2023 - 21:10,3,s,s
1,178568373,3916355,Mubea Mexico,SAG,,15,151751,8239,2923,2920,,,,,,,13.5,13.5,13.49,0.95,D5,45,45,18,y,y,07.09.2023 - 21:25,07.09.2023 - 22:09,4,s,s
1,180661003,3916389,Mubea Mexico,SAG,,14,152192,6626,2955,2952,,,,,,,12.7,12.69,12.7,0.95,C7,45,45,18,y,y,07.09.2023 - 22:24,07.09.2023 - 23:15,3,s,s
1,178568375,3913429,Mubea Mexico,SAG,,15,151751,8240,2931,2928,,,,,,,14.2,14.2,14.19,0.95,E2,45,45,18,y,y,07.09.2023 - 23:30,08.09.2023 - 00:20,2,s,s
1,178568401,3916349,Mubea Mexico,SAG,,15,151751,8256,2911,2908,,,,,,,13.5,13.5,13.49,0.95,D5,45,45,18,y,y,08.09.2023 - 00:32,08.09.2023 - 01:15,3,s,s
